Match Number,Round Number,Date,Location,Home Team,Away Team,Result
164,19,25/01/2025 15:30,Borussia-Park,Borussia Mönchengladbach,VfL Bochum 1848,
165,19,25/01/2025 15:30,Mewa Arena,1. FSV Mainz 05,VfB Stuttgart,
166,19,25/01/2025 15:30,Volkswagen Arena,VfL Wolfsburg,SV Darmstadt 98,
167,19,25/01/2025 15:30,WWK Arena,FC Augsburg,1. FC Heidenheim 1846,
168,19,25/01/2025 15:30,Europa-Park Stadion,SC Freiburg,FC Bayern München,
169,19,25/01/2025 15:30,PreZero Arena,TSG Hoffenheim,Eintracht Frankfurt,
170,19,25/01/2025 15:30,Signal Iduna Park,Borussia Dortmund,SV Werder Bremen,
171,19,25/01/2025 15:30,Red Bull Arena,RB Leipzig,Bayer 04 Leverkusen,
172,20,01/02/2025 15:30,Millerntor-Stadion,1. FC Köln,FC Augsburg,
173,20,01/02/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,SC Freiburg,
174,20,01/02/2025 15:30,An der Alten Försterei,1. FC Union Berlin,RB Leipzig,
175,20,01/02/2025 15:30,Weser-Stadion,SV Werder Bremen,1. FSV Mainz 05,
176,20,01/02/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,Borussia Dortmund,
177,20,01/02/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,VfL Wolfsburg,
178,20,01/02/2025 15:30,Allianz Arena,FC Bayern München,SV Darmstadt 98,
179,20,01/02/2025 15:30,MHPArena,VfB Stuttgart,Borussia Mönchengladbach,
180,20,01/02/2025 15:30,BayArena,Bayer 04 Leverkusen,TSG Hoffenheim,
181,21,08/02/2025 15:30,Holstein-Stadion,SV Darmstadt 98,VfL Bochum 1848,
182,21,08/02/2025 15:30,Borussia-Park,Borussia Mönchengladbach,Eintracht Frankfurt,
183,21,08/02/2025 15:30,Mewa Arena,1. FSV Mainz 05,FC Augsburg,
184,21,08/02/2025 15:30,Volkswagen Arena,VfL Wolfsburg,Bayer 04 Leverkusen,
185,21,08/02/2025 15:30,Europa-Park Stadion,SC Freiburg,1. FC Heidenheim 1846,
186,21,08/02/2025 15:30,PreZero Arena,TSG Hoffenheim,1. FC Union Berlin,
187,21,08/02/2025 15:30,Signal Iduna Park,Borussia Dortmund,VfB Stuttgart,
