Match Number,Round Number,Date,Location,Home Team,Away Team,Result
196,22,15/02/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,Holstein Kiel,
197,22,15/02/2025 15:30,MHPArena,VfB Stuttgart,VfL Wolfsburg,
198,22,15/02/2025 15:30,BayArena,Bayer 04 Leverkusen,FC Bayern München,
199,23,22/02/2025 15:30,Holstein-Stadion,Holstein Kiel,Bayer 04 Leverkusen,
200,23,22/02/2025 15:30,Borussia-Park,Borussia Mönchengladbach,FC Augsburg,
201,23,22/02/2025 15:30,Mewa Arena,1. FSV Mainz 05,FC St. Pauli,
202,23,22/02/2025 15:30,Volkswagen Arena,VfL Wolfsburg,VfL Bochum 1848,
203,23,22/02/2025 15:30,Europa-Park Stadion,SC Freiburg,SV Werder Bremen,
204,23,22/02/2025 15:30,PreZero Arena,TSG Hoffenheim,VfB Stuttgart,
205,23,22/02/2025 15:30,Signal Iduna Park,Borussia Dortmund,1. FC Union Berlin,
206,23,22/02/2025 15:30,Red Bull Arena,RB Leipzig,1. FC Heidenheim 1846,
207,23,22/02/2025 15:30,Allianz Arena,FC Bayern München,Eintracht Frankfurt,
208,24,01/03/2025 15:30,Millerntor-Stadion,FC St. Pauli,Borussia Dortmund,
209,24,01/03/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,TSG Hoffenheim,
210,24,01/03/2025 15:30,An der Alten Försterei,1. FC Union Berlin,Holstein Kiel,
211,24,01/03/2025 15:30,WWK Arena,FC Augsburg,SC Freiburg,
212,24,01/03/2025 15:30,Weser-Stadion,SV Werder Bremen,VfL Wolfsburg,
213,24,01/03/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,Borussia Mönchengladbach,
214,24,01/03/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,Bayer 04 Leverkusen,
215,24,01/03/2025 15:30,Red Bull Arena,RB Leipzig,1. FSV Mainz 05,
216,24,01/03/2025 15:30,MHPArena,VfB Stuttgart,FC Bayern München,
217,25,08/03/2025 15:30,Holstein-Stadion,Holstein Kiel,VfB Stuttgart,
218,25,08/03/2025 15:30,Borussia-Park,Borussia Mönchengladbach,1. FSV Mainz 05,
219,25,08/03/2025 15:30,Volkswagen Arena,VfL Wolfsburg,FC St. Pauli,
220,25,08/03/2025 15:30,Europa-Park Stadion,SC Freiburg,RB Leipzig,
221,25,08/03/2025 15:30,PreZero Arena,TSG Hoffenheim,1. FC Heidenheim 1846,
222,25,08/03/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,1. FC Union Berlin,
223,25,08/03/2025 15:30,Signal Iduna Park,Borussia Dortmund,FC Augsburg,
224,25,08/03/2025 15:30,Allianz Arena,FC Bayern München,VfL Bochum 1848,
225,25,08/03/2025 15:30,BayArena,Bayer 04 Leverkusen,SV Werder Bremen,
226,26,15/03/2025 15:30,Millerntor-Stadion,FC St. Pauli,TSG Hoffenheim,
227,26,15/03/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,Eintracht Frankfurt,
228,26,15/03/2025 15:30,An der Alten Försterei,1. FC Union Berlin,FC Bayern München,
229,26,15/03/2025 15:30,Mewa Arena,1. FSV Mainz 05,SC Freiburg,
230,26,15/03/2025 15:30,WWK Arena,FC Augsburg,VfL Wolfsburg,
231,26,15/03/2025 15:30,Weser-Stadion,SV Werder Bremen,Borussia Mönchengladbach,
232,26,15/03/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,Holstein Kiel,
233,26,15/03/2025 15:30,Red Bull Arena,RB Leipzig,Borussia Dortmund,
234,26,15/03/2025 15:30,MHPArena,VfB Stuttgart,Bayer 04 Leverkusen,
235,27,29/03/2025 15:30,Holstein-Stadion,Holstein Kiel,SV Werder Bremen,
236,27,29/03/2025 15:30,Borussia-Park,Borussia Mönchengladbach,RB Leipzig,
237,27,29/03/2025 15:30,Volkswagen Arena,VfL Wolfsburg,1. FC Heidenheim 1846,
238,27,29/03/2025 15:30,Europa-Park Stadion,SC Freiburg,1. FC Union Berlin,
239,27,29/03/2025 15:30,PreZero Arena,TSG Hoffenheim,FC Augsburg,
240,27,29/03/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,VfB Stuttgart,
241,27,29/03/2025 15:30,Signal Iduna Park,Borussia Dortmund,1. FSV Mainz 05,
242,27,29/03/2025 15:30,Allianz Arena,FC Bayern München,FC St. Pauli,
243,27,29/03/2025 15:30,BayArena,Bayer 04 Leverkusen,VfL Bochum 1848,
244,28,05/04/2025 15:30,Millerntor-Stadion,FC St. Pauli,Borussia Mönchengladbach,
245,28,05/04/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,VfB Stuttgart,
246,28,05/04/2025 15:30,An der Alten Försterei,1. FC Union Berlin,VfL Wolfsburg,
247,28,05/04/2025 15:30,Mewa Arena,1. FSV Mainz 05,Holstein Kiel,
248,28,05/04/2025 15:30,WWK Arena,FC Augsburg,FC Bayern München,
249,28,05/04/2025 15:30,Europa-Park Stadion,SC Freiburg,Borussia Dortmund,
250,28,05/04/2025 15:30,Weser-Stadion,SV Werder Bremen,Eintracht Frankfurt,
251,28,05/04/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,Bayer 04 Leverkusen,
252,28,05/04/2025 15:30,Red Bull Arena,RB Leipzig,TSG Hoffenheim,
253,29,12/04/2025 15:30,Holstein-Stadion,Holstein Kiel,FC St. Pauli,
254,29,12/04/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,FC Augsburg,
255,29,12/04/2025 15:30,Borussia-Park,Borussia Mönchengladbach,SC Freiburg,
256,29,12/04/2025 15:30,Volkswagen Arena,VfL Wolfsburg,RB Leipzig,
257,29,12/04/2025 15:30,PreZero Arena,TSG Hoffenheim,1. FSV Mainz 05,
258,29,12/04/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,1. FC Heidenheim 1846,
259,29,12/04/2025 15:30,Allianz Arena,FC Bayern München,Borussia Dortmund,
260,29,12/04/2025 15:30,MHPArena,VfB Stuttgart,SV Werder Bremen,
261,29,12/04/2025 15:30,BayArena,Bayer 04 Leverkusen,1. FC Union Berlin,
262,30,19/04/2025 15:30,Millerntor-Stadion,FC St. Pauli,Bayer 04 Leverkusen,
263,30,19/04/2025 15:30,An der Alten Försterei,1. FC Union Berlin,VfB Stuttgart,
264,30,19/04/2025 15:30,Mewa Arena,1. FSV Mainz 05,VfL Wolfsburg,
265,30,19/04/2025 15:30,WWK Arena,FC Augsburg,Eintracht Frankfurt,
266,30,19/04/2025 15:30,Europa-Park Stadion,SC Freiburg,TSG Hoffenheim,
267,30,19/04/2025 15:30,Weser-Stadion,SV Werder Bremen,VfL Bochum 1848,
268,30,19/04/2025 15:30,Voith-Arena,1. FC Heidenheim 1846,FC Bayern München,
269,30,19/04/2025 15:30,Signal Iduna Park,Borussia Dortmund,Borussia Mönchengladbach,
270,30,19/04/2025 15:30,Red Bull Arena,RB Leipzig,Holstein Kiel,
271,31,26/04/2025 15:30,Holstein-Stadion,Holstein Kiel,Borussia Mönchengladbach,
272,31,26/04/2025 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,1. FC Union Berlin,
273,31,26/04/2025 15:30,Volkswagen Arena,VfL Wolfsburg,SC Freiburg,
274,31,26/04/2025 15:30,Weser-Stadion,SV Werder Bremen,FC St. Pauli,
275,31,26/04/2025 15:30,PreZero Arena,TSG Hoffenheim,Borussia Dortmund,
276,31,26/04/2025 15:30,Deutsche Bank Park,Eintracht Frankfurt,RB Leipzig,
277,31,26/04/2025 15:30,Allianz Arena,FC Bayern München,1. FSV Mainz 05,
278,31,26/04/2025 15:30,MHPArena,VfB Stuttgart,1. FC Heidenheim 1846,
279,31,26/04/2025 15:30,BayArena,Bayer 04 Leverkusen,FC Augsburg,
280,32,03/05/2025 15:30,Millerntor-Stadion,FC St. Pauli,VfB Stuttgart,
281,32,03/05/2025 15:30,An der Alten Försterei,1. FC Union Berlin,SV Werder Bremen,
282,32,03/05/2025 15:30,Borussia-Park,Borussia Mönchengladbach,TSG Hoffenheim,
283,32,03/05/2025 15:30,Mewa Arena,1. FSV Mainz 05,Eintracht Frankfurt,
284,32,03/05/2025 15:30,WWK Arena,FC Augsburg,Holstein Kiel,
285,32,03/05/2025 15:30,Europa-Park Stadion,SC Freiburg,Bayer 04 Leverkusen,
